,Song,Artist,Date,Year,Month,Day,Lyrics,Compound,Positive,Negative,Neutral
16,The Unicorn,The Irish Rovers,1968-04-16,1968,04,16,"A long time ago when the earth was green, and there was more kinds of animals than you've ever seen, They'd run around free while the earth was being born, But the loveliest of them all was the Unicorn.  Chorus There were green alligators and long necked geese, Some humpty-back camels and some chimpanzees, Some cats and rats and elephants, but sure as you're born, The loveliest of all was the Unicorn.  Now God seen some sinning and it gave Him pain, And He says ""Stand back, I'm going to make it rain."" He says ""Hey brother Noah, I'll tell you what to do, Build me a floating zoo. And take some of them...  Chorus 2 Green alligators and long necked geese, ...  ",0.3182,0.06,0.035,0.905
17,Ain't No Way,Aretha Franklin,1968-04-16,1968,04,16,"Ain't no way for me to love you If you won't let me It ain't no way for me to give you all ya need If you won't let me give all of me (ooooooo) I know that a woman's duty Is to help and love the man And that's the way it was for me  (ooooooo) Oh but how can I, how can I, how can I, give ya Give ya all the things I can If you're tyin' both of my hands  ...  ",0.7869,0.114,0.0,0.886
18,Love Is All Around,The Troggs,1968-04-16,1968,04,16,"I feel it in my fingers, I feel it in my toes. Well love is all around me, and so the feeling grows. It's written on the wind, it's everywhere I go. So if you really love me, come on and let it show.  You know I love you, I always will. My mind's made up by the way that I feel. There's no beginning, there'll be no end. 'Cause on my love you can depend. ...  ",0.9537,0.235,0.05,0.715
19,Kiss Me Goodbye,Petula Clark,1968-04-16,1968,04,16,"We choose it, win or lose it Love is never quite the same I love you, now I've lost you Don't feel bad, you're not to blame  So kiss me goodbye and I'll try not to cry All the tears in the world won't change your mind There's someone new and she's waiting for you Soon your heart will be leaving me behind  ...  ",0.9524,0.277,0.083,0.639
20,Tighten Up,Archie Bell & The Drells,1968-04-16,1968,04,16,"Hi everybody. I'm Archie Drell and the Drells from Houston, Texas. We don't only sing but we dance just as good as we walk. In Houston we just started a new dance called the Tighten Up. This is the music we tighten up to.  First tighten up on the drums. Come on now drummer. I want you to tighten it up for me now. oh yeah Tighten up on that bass now. Tighten it up. ha ha Yeah Now let that guitar fall in. Oh yeah Tighten up on that organ now.  Ya, do the tighten up. Yeah now. ...  ",0.967,0.201,0.0,0.799
21,Jennifer Juniper,Donovan,1968-04-16,1968,04,16,"Jennifer Juniper, lives upon the hill Jennifer Juniper, sitting very still  Is she sleeping? I don't think so Is she breathing? Yes, very low Whatcha doing, Jennifer, my love?  Jennifer Juniper, rides a dappled mare Jennifer Juniper, lilacs in her hair  Is she dreaming? Yes, I think so Is she pretty? Yes, ever so Whatcha doing, Jennifer, my love? ...  ",0.9614,0.285,0.033,0.682
22,Cab Driver,The Mills Brothers,1968-04-16,1968,04,16,"Cab driver, drive by Mary's place I just want a chance to see her face Don't stop the meter, let it race Cab driver, drive by Mary's place  Cab driver, once more 'round the block Never mind the tickin' of the clock I only wish we could have had a talk Cab driver, once more 'round the block ...  ",-0.1127,0.125,0.1,0.775
23,Take Time To Know Her,Percy Sledge,1968-04-16,1968,04,16,"I found a woman I felt a true in love She was every thing I'd ever been dreaming of  But she was bad, I didn't know it Her pretty smile never did show it All I knew is what I could see And I knew I wanted her for me  I took her home to Mama Mama, wanna see my future bride Well, she looked at us both And then she called me to her side  She said, ""Son, take time to know her It's not an overnight thing ...  ",0.8834,0.16,0.038,0.802
24,Forever Came Today,Diana Ross & The Supremes,1968-04-16,1968,04,16,"There you were, standing there As your eyes reached out to me Something warm in your eyes Touched my heart right then and there All the love I never knew I found in you  Suddenly, my world stood still My life was then fulfilled As you gently touched my hand I knew that we had laid a plan For everlasting love That I've been forever dreaming of  At last, ooh, at last My forever came today (My forever came today) When you walked into my life (When you walked into my life) And made my lonely life  A paradise (A paradise) It came today (Oh, it came today) Forever came today (Forever came today) ...  ",0.9698,0.194,0.019,0.787
25,Funky Street,Arthur Conley,1968-04-16,1968,04,16,"One used to be the shotgun Two used to be the bad boogaloo Three used to be the swing shingaling Four used to be the funky four fingers  Down on funky street Digging the funky beat Down on funky street That's where the grooviest people meet  From Atlanta, Georgia Going on down to the border Every boy is dancing With somebody's daughter  Grooving in the city Got to get down with it ...  ",-0.7269,0.0,0.118,0.882
26,A Beautiful Morning,The Rascals,1968-04-16,1968,04,16,,0.0,0.0,0.0,0.0
27,Take Good Care Of My Baby,Bobby Vinton,1968-04-16,1968,04,16,"My tears are fallin' 'cause you've taken her away And though it really hurts me so There's something that I've gotta say  Take good care of my baby Please don't ever make her blue Just tell her that you love her Make sure you're thinking of her In everything you say and do  Aww, take good care of my baby Now don't you ever make her cry ...  ",0.9119,0.24,0.096,0.664
28,Delilah,Tom Jones,1968-04-16,1968,04,16,"I saw the light on the night that I passed by her window I saw the flickering shadows of love on her blind  She was my woman As she deceived me I watched and went out of my mind  My, my, my, Delilah Why, why, why, Delilah  I could see, that girl was no good for me But I was lost like a slave that no man could free ...  ",0.3818,0.163,0.155,0.682
29,Security,Etta James,1968-04-16,1968,04,16,,0.0,0.0,0.0,0.0
30,Simon Says,1910 Fruitgum Co.,1968-04-16,1968,04,16,,0.0,0.0,0.0,0.0
31,Little Green Apples,Roger Miller,1968-04-16,1968,04,16,"And I wake up in the mornin' With my hair down in my eyes and she says hi And I stumble to the breakfast table While the kids are goin' off to school, goodbye  And she reaches out and takes my hand And squeezes it and says, how you feelin' hon And I look across at smilin' lips that warm my heart And see my mornin' sun  And if that's not lovin' me then all I've got to say  God didn't make little green apples ...  ",0.7506,0.096,0.0,0.904
32,The Son Of Hickory Holler's Tramp,O.C. Smith,1968-04-16,1968,04,16,"O.c. Smith Miscellaneous The Son Of Hickory Holler's Tramp The Son Of Hickory Holler's Tramp O C Smith From the vinyl album ""O C Smith's Greatest Hits"" Oh, the path was deep and wide From footsteps leading to our cabin Above the door there burned a scarlet lamp And late at night a hand would knock And there would stand a stranger Yes, I'm the son of Hickory Holler's tramp Yeah, the weeds were high, the corn was dry When daddy took to drinking Him and Sally Walker, they up and ran away Then Momma shed a silent tear And promised fourteen children ""I swear you'll never see a hungry day"" ...  ",0.9274,0.13,0.011,0.86
33,I Thank You,Sam & Dave,1968-04-16,1968,04,16,"(I want everybody to get up off your seat And get your arms together, and your hands together And give me some of that o-o-old soul clapping)  You didn't have to love me like you did But you did, but you did And I thank you You didn't have to squeeze me like you did But you did, but you did And I thank you  If you took your love to somewhere else I wouldn't know what it meant to be loved to death You made me feel like I've never felt Kisses so good I had to holler for help  You didn't have to squeeze me but you did But you did but you did And I thank you You didn't have to hold me but you did ...  ",0.9479,0.208,0.098,0.695
34,Jennifer Eccles,The Hollies,1968-04-16,1968,04,16,"White chalk written on red brick Our love told in a heart It's there, drawn in the playground Love, kiss, hate, or adore  I love Jennifer Eccles I know that she loves me I love Jennifer Eccles I know that she loves me  La la, la-la la la la La la, la-la la-la La la, la-la la la la La la, la-la la-la  I used to carry her satchels She used to walk by my side But when we got to her doorstep Her dad wouldn't let me inside ...  ",0.9816,0.28,0.034,0.686
35,I Will Always Think About You,The New Colony Six,1968-04-16,1968,04,16,I will always think about you. Even if I live without you. Please don't let that ever happen. I have too much love within me.  For you (for you). Baby it's true (for you). Baby.  I can't find the words to tell you. Just how much I really love you. ...  ,0.8817,0.203,0.036,0.761
36,She's Lookin' Good,Wilson Pickett,1968-04-16,1968,04,16,,0.0,0.0,0.0,0.0
37,Rice Is Nice,The Lemon Pipers,1968-04-16,1968,04,16,"I wanna find somebody to care, I wanna catch some rice in my hair. I need love and I want you, I do, I wanna spend my life loving you.  ...  ",0.9118,0.375,0.0,0.625
