,Song,Artist,Date,Year,Month,Day,Lyrics,Compound,Positive,Negative,Neutral
17,I'm A Midnight Mover,Wilson Pickett,1968-07-21,1968,07,21,I'm a midnight mover All night through I'm a midnight teaser Real soul pleaser I'm a midnight hugger All night long and a lover  Trust in me when you're down and out I will always bring you up They call me the midnight mover  ...  ,0.886,0.251,0.04,0.709
18,Stay In My Corner,The Dells,1968-07-21,1968,07,21,"If you stay, stay darling (Stay in my corner) You make me so proud, stay darling Please, stay (Stay in my corner)  To the world I'd cry my love How I love you Honey, I love you, I really love you (Stay, stay, stay, stay) Please, please, please stay darling (Stay in my corner)  And I will never, never let you down Just say you'll stay (Stay in my corner) 'Cause I'll need you always around ...  ",0.9901,0.396,0.03,0.574
19,Never Give You Up,Jerry Butler,1968-07-21,1968,07,21,"Never gonna give you up No matter how you treat me Never gonna give you up So don't you think of leavin  Girl, you treat me bad and I know why Yeah, I've seen you runnin' around with another guy And you think if you hurt me that I'll go away Made it up in my mind that I'm here to stay  So tell em Never gonna give you up Whisper in his ear No matter how you treat me Never gonna give you up ...  ",-0.2023,0.127,0.114,0.759
20,Don't Take It So Hard,Paul Revere & The Raiders Featuring Mark Lindsay,1968-07-21,1968,07,21,"I've tried to let you down so easy I'd like to still be just a friend We shared such memories together But all good things come to an end  And you shouldn't take it so hard You shouldn't take it so hard Oh, you shouldn't take it so hard  You shouldn't take it so hard You shouldn't take it so hard No, you shouldn't take it so hard  So hard, so hard, hard ...  ",0.1853,0.163,0.209,0.629
21,Yummy Yummy Yummy,Ohio Express,1968-07-21,1968,07,21,"Yummy, yummy, yummy, I've got love in my tummy And I feel like a-lovin you Love, you're such a sweet thing, good enough to eat thing And that's just a-what I'm gonna do  Ooh, love to hold ya Ooh, love to kiss ya Ooh, love I love it so  Ooh love, you're sweeter Sweeter than sugar Ooh love, I won't let you go  Yummy, yummy, yummy, I've got love in my tummy And as silly as it may seem ...  ",0.9971,0.557,0.0,0.443
22,Dream A Little Dream Of Me,Mama Cass With The Mamas & The Papas,1968-07-21,1968,07,21,"Stars shining bright above you Night breezes seem to whisper ""I love you"" Birds singin' in the sycamore tree Dream a little dream of me  Say ""nighty-night"" and kiss me Just hold me tight and tell me you'll miss me While I'm alone and blue as can be Dream a little dream of me  ...  ",0.9138,0.267,0.055,0.678
23,Born To Be Wild,Steppenwolf,1968-07-21,1968,07,21,"Get your motor runnin' Head out on the highway Looking for adventure In whatever comes our way  Yeah, darlin', gonna make it happen Take the world in a love embrace Fire all of your guns at once and Explode into space  I like smoke and lightnin' Heavy metal thunder  Racing in the wind And the feeling that I'm under ...  ",0.891,0.219,0.035,0.746
24,Lover's Holiday,Peggy Scott & Jo Jo Benson,1968-07-21,1968,07,21,Love Is quite a feeling (Tell them one more time) Love Is so appealing  Oh now come this Friday night Everything will be uptight I got plans baby That are out of sight  Maybe we can slip away And take a lovers' holiday We'll try not to overstay But if we do it's okay Baby  ...  ,0.9392,0.272,0.039,0.689
25,Mony Mony,Tommy James And The Shondells,1968-07-21,1968,07,21,"Here she come now, say ""Mony, Mony"" Well, shoot 'em down, turn around, come home, yeah Hey, she gives me love and I feel alright now Everybody! You got me tossin', turnin' in the middle of the night And I feel alright I say yeah (yeah), yeah (yeah), yeah (yeah), yeah (yeah), yeah (yeah) Well, you make me feel (Mony, Mony) So (Mony, Mony) Good (Mony, Mony) Yeah (Mony, Mony) So good (Mony, Mony) All right (Mony, Mony) Come on (Mony, Mony) All right, baby (Mony, Mony) I say yeah (yeah), yeah (yeah), yeah (yeah), yeah (yeah), yeah (yeah) ...  ",0.9883,0.367,0.019,0.614
26,Eleanor Rigby,Ray Charles,1968-07-21,1968,07,21,"Eleanor Rigby picks up the rice in the church where a wedding has been Lives in a dream Waits at the window, wearing the face that she keeps in a jar by the door Who is it for? All the lonely people Where do they all come from ? All the lonely people Where do they all belong ? ...  ",-0.5484,0.034,0.093,0.873
